text,sentiment
"My anger is with men, their inability to be human (not all men).",Negative
 OK . ,Neutral
"A fellow player, quite unexpectedly, scores a goal, which means a draw.",Positive
 I didn't like her butting in where I didn't want her . She's a chatter box . ,Negative
A friend of mine got pregnant anf failed the first year at university.  The boyfriend refused his responsibility and they ended up in court.,Negative
 Why ? ,Neutral
 But she lied to me . ,Negative
"Life is short, live it.  is rare, grab it. Anger is bad, dump it. is awful, face it. #Memories are sweet, cherish them.",Negative
Good if you are nervous about making a permanent change . ,Negative
" Um , well let's see ... I'm from Kansas originally . A much quieter and more peaceful place than here , that's for sure ! ",Neutral
"` I 'm gratified to find you so concerned for my welfare , Li Yuan . ",Negative
"His marriage to Osthryth , the sister of King Ecgfrith , inhibited him from bestowing royal favour on Wilfrid until Archbishop Theodore engineered a reconciliation of offended parties in 686 . ",Negative
"As she poured coffee for Jenny and Paul , she felt unbearably sad . ",Negative
One time I set up my journey at night going to a certain bar. On the way I met my friends and they told me that two people had died because of heavy fighting. I proceeded on but with fear.,Negative
When I first passed a job interview.,Positive
And she was furious that Mr Clarke did not break the news to her before holding a Press conference . ,Negative
 All right . But what was the trouble ? ,Neutral
 That ’ s right . I have a lot to learn from you . ,Positive
We lived with 3 persons in the loft of a house. It often occurred that other persons again and again climbed the stairs with much noise. When I was studying I couldn't concentrate and got angry.,Negative
When I entered at the University.,Positive
Why aren ’ t they are aware of the gravity of the situation ? ,Negative
" But why were you getting off work so late ? The office close at six , doesn't it ? ",Negative
all this  news has made me very nervous whenever i see a cop.  even a friendly cop in the mall.  i hate that.  ,Negative
Cant decide what shirt to wear tonight. ,Negative
" And my first nephew . He looks a lot like you , mum . He does . ",Positive
"Reflecting on the experience , Donia said : `` I think you 're exhilarated by the determination and strength of the human spirit . ''",Positive
 I'll see you at the airport at 12 thirty P . m . ,Negative
 Crazy is too kind . Insane is more like it . Nuts ! Wacko ! Psycho ! ,Negative
When I came to know that my grandmother had died.  She was very close to me.,Negative
"It was a complex situation concerning a relationship with a boyfriend, I had broken the relationship for some reasons. Meanwhile, as I felt it, I had most sorrow.",Negative
"My mother, sister and I were thinking about old times, our childhood, and we had a very happy time.",Positive
Hello ? ,Neutral
 Well ... ,Neutral
But Richard 's elation at regaining his health was short lived because his kidneys started to fail . ,Positive
Nightmare about war. Freaked the fuck right out of me.  #loathing #ffs #sake #fuck #sake,Negative
"Her father was cross with her , if not downright angry , and she felt like weeping inside . ",Negative
Once again my parents distroyed a relationship.,Negative
When I got the scholarship letter from Australia.,Positive
" Sorry , I don ’ t quite follow you . ",Neutral
Last Summer in Italy I was attacked by a dog.It was terrible to feel that untidy dirty dog against my naked skin.,Negative
 I am sorry . I am very tired . I'm going to bed early . ,Negative
I had a dream in which I was an African elephant.,Negative
 No ! I said I was going to cut down which is very different . You can ’ t just expect me to go cold turkey overnight ! ,Neutral
"I made an appointment with a friend to drink coffee togehter. However, for the third time in that week she arrived an hour too late.",Negative
There is only one thing that makes a  impossible to achieve: the of failure.,Negative
"` What is it ? "" asked the eight-year-old , delighted that he had somehow managed to amuse this mature woman of nineteen . ",Positive
"Lineker became incensed when Taylor went public , not only questioning whether Lineker should remain as captain , but whether his form justified a place in the side -- even though he was maintaining his phenomenal strike rate . ",Negative
 You won ’ t believe who ’ s been elected to do overtime on the Baker account ! Me ! I ’ Ve already logged in 20 hours of overtime ! ,Negative
" Ur , you really let me down . ",Negative
"He said nothing , and from the anger on his face she saw that he didn't think he owed her a reply . ",Negative
 See you later ! Drive carefully . ,Positive
"When I heard that I had passed my MCE Exam, I spent the whole day dancing and eating sugarcanes from our garden.",Positive
 Why did you tell me to get off ? ,Negative
" So , want me to book the tickets again ? ",Positive
"Ian Fleming 's superhero first appeared in Issue 4 of ZZAP ! , much to the dismay of the reviewing team . ",Negative
"Fights that I see in the middle of the street, robberies, fear of darkness when going home.",Negative
Are you allowing to sabotage Your Empowering #Success ? Give it back! 2 Timothy 2:7 #queeninyou,Negative
The time I learnt that I had passed my Malawi School leaving Certificate Examinations.,Positive
"As he released his anger , he felt his love for his ex-wife , and wept over their divorce . ",Negative
I felt joy when I passed the worst phase in my life and discovered how many people considered me important to them.,Positive
 Thank you . ,Neutral
 My hair looks hideous . ,Negative
 Eight . ,Neutral
If she 's so anxious about my welfare and morals it 's a wonder she hasn't come stamping up here to check out the situation for herself . ,Negative
Lucy sent him a resentful glance while adding an explanation for her presence . ,Negative
 High ? ,Neutral
 Really going to miss you . ,Positive
 What a pity ! ,Negative
Melanie was shocked to see the horror on her aunt 's face . ,Negative
 No ... not really . The sad thing is that I wasn't there when she died . I really wanted to be there one last time . ,Negative
 Why not ? ,Neutral
"Thus the dialogue and its frame emphasize the bond between the two of them , and thereby further underline the horror of the sacrifice of which they speak . ",Negative
" Mary , don't move . Stand right there . It's a good shot . The background is very pretty . ",Positive
 You got it . ,Neutral
 so what ? ,Neutral
That was what I felt with a teacher who put down quite unreal marks.,Negative
When someone took my writing materials yet I was to write Examinations in a few minutes.,Negative
She was shortish and had an attractive way of cocking her head on one side and looking up with big dark eyes and a wryly amused smile . ,Positive
"@OMcGee82 I felt fine this morning, blatantly due to still being pissed, then my condition rapidly deteriorated.  ",Negative
 I am happy that you like the house . We should write down what we like so that we can remember it . ,Negative
Almost every month it seems as though some sad parent on the local news is bemoaning the loss of their teenager who died in this way . ,Negative
 It's really there ? This all seems so surreal-like it's all one big nightmare . ,Negative
" Hello sir . Good to meet you , too . ",Positive
 Thank you . ,Positive
"I was going away, leaving a dear person behind.",Negative
 Ok . ,Neutral
"Recently my younger brother disappeared for two days without leaving a trace. Usually he tells me when he wants to do something like that, therefore I was afraid that something had happened to him.",Negative
"Getting a terrible exam mark, which I couldn't understand the reason for, and trying to see a lecturer or tutor, but being given the runaround.",Negative
" Yes , that's true . Damn ! I just lost half my paper , and now I can't even do my homework.This is a bad time for this to happen . ",Negative
Meeting generally dominating persons in social occasions.,Negative
"I wanted to clear up a misunderstanding with a friend that I had caused. A third person meddled in our conversation, turned my efforts to ridicule so that I did not succeed in what I had intended.",Negative
"I went singing with a group of young people on January 6th (The three Magi), a local custom called \star singing\"". One of the girls, my girlfriend, broke the star. Being the accompanying person, I felt very angry thinking of the consequences.""",Negative
" Sorry , sir , we are having a sale now . ",Negative
"Look , Forest Gump is on at six thirty . ",Positive
I am a kindergarten teacher and I am thoroughly weary of my job.  After having taken the university entrance exam I suffered from anxiety for weeks as I did not want to carry on with my work - studies were the only alternative. ,Negative
Finished a difficult midterm.,Positive
 OK . Bye ! ,Positive
"I was in the dark room, it's insecure and has holes covered with wooden sheets in the roof the establishment had already been assaulted and could be assaulted again.",Negative
He felt a bit worried at this and started to question her . ,Negative
Do you know how late it is ? ,Negative
 I ’ m not in the mood . ,Negative
My boyfriend is a soldier. He was on a leave. I felt sad when we had to get separated again.,Negative
"` But my chairman and vice-chairman have given me another year 's contract , and I 'm absolutely delighted to be staying at Nottingham Forest . ",Positive
 That's too bad.What kind of accident is it ? Are you all right ? ,Negative
When my mum's brother passed away after having been involved in a car accident.   He was bringing me a present as I had passed my form five exams with flying colours.,Negative
When my grandmother died. I had lived with her for ten years.,Negative
After having quarelled with a relative of mine about politics.,Negative
 Why not ? ,Neutral
I get angry when people disbelieve me or misunderstand me.,Negative
" No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home ! ",Negative
"That's unfair , Mom . ",Negative
When I was eight years old my father was run over by a car. When I saw his body I was sad beyond words.,Negative
When I have to go in for an exam and the examinor is a person with a whimsical character and unsteady requirements.,Negative
When I heard that I had achieved a place in form I.,Positive
 I know ! Well ... he said I ’ m not pregnant . I ’ m sorry if I got you all worked up over nothing . I want you to know that I didn ’ t do it on purpose ... ,Neutral
Listening to horrot stories at night.,Negative
"My father had bought too many goods for his shop, there was not enough space to store them.",Negative
Once my father slapped my mother for a small quarrel.,Negative
 How could I feel easy ? I ’ m really pissed . ,Negative
Accountants inevitably greeted the court 's finding with some disquiet . ,Negative
Lost a friend.,Negative
 I ’ m so jealous . ,Neutral
" You 're not  vexed , are you ?  he asked incredulously . ",Negative
"I had a very close friend who went to Canada after her F.B, his  departure was unavoidable.  When he came back during the Summer holidays I was very happy as nothing had changed between us.",Positive
" Oh , yes . I like playing basketball . ",Neutral
I had this feeling when my parents distroyed a relationship with a boy because they thought he was bad and irresponsible.,Negative
Her head turned restlessly on the pillow as she strove to distance herself from the increasingly excited voice of the commentator and the air-splitting whine of the high-revving engines . ,Positive
 Yes . ,Neutral
"But he was confronted by an ecstatic welcome from his mother , who was waiting for him on the doorstep . ",Positive
The last time I was face to face with with the monstrous dog which lives in my street.,Negative
He was so miserable . ,Negative
I was attacked by a man at a bus stop at night.,Negative
I arrived in Vienna in the middle of the night. I asked for some silly information - as I realized myself afterwards - and the inquiry  clerk reacted in a very arrogant manner.,Negative
 Bye . ,Positive
I came out of the house at 7:20 am Monday morning getting ready t go to school and fight for a parking when I saw my car had a flat tire.,Negative
When I got my results ( I had made it to the second year ).,Positive
"When I was a child, I had a nightmare. At that time, I was not yet able to tell anybody about it, so I was very frightened. I could not explain myself all that and I had to deal with it by myself.",Negative
On the edge of slipping and winning... ,Negative
"Livid with rage , he grabs their cameras and rips the film from them , tearing it to shreds and throwing it in the fire . ",Negative
"After completing high-school, I wanted to go abroad for a holiday.  I had never been abroad before and neither had I taken a holiday for a long time.  When finally my parents agreed and we got the airplane tickets I was over joyed.",Positive
 I messed up . ,Negative
Are you OK ? ,Neutral
"I went to the ballet lessons with a little friend in the dark. On a very quiet place a boy approached us from behind and asked at what time the lesson would be finished. I gave him an avoiding answer, he took me up and wanted to run away with me.",Negative
When my husband and I decided to take a few days holiday after a particularly trying period.,Positive
 How am I going to face the fellows in our office ? They thought I would be promoted . They must be waiting for my good news . ,Negative
 They said that they did . I've been so busy ... ,Negative
I reachad home to find that my baby had not been bathed and fed.,Negative
"An uncle of mine who just retired, having worked hard all his life, got a cerebral hemorrhage.",Negative
"My mother was ill and asked me to prpare our lunch. I went to do it, and while I was working, she stayed behind me telling what I had, or not to do. I asked her to stop meddling, and to go to bed. When I went to ask for help to my sister, my mother said that I was proud, that I asked for help only when I wanted and that I wasn't able to cook by myself.",Negative
" Yes , it is . The sun is shining . There is no wind , only a pleasant breeze . ",Positive
As a child (i.e. 5-7) hiking in reasonably rugged bush and becoming lost for a duration of 5-7 hours.,Negative
 I had a terrible quarrel with my neighbor yesterday . ,Negative
To his own surprise all his anger against Edouard had evaporated . ,Negative
"When I was a student at the Institute doing my M.Phil degree, one of my professors called me before the convocation and told me \You have got the gold-medal (first rank) in the university and tomorrow you will be on T.V\"".""",Positive
I felt very angry after one driver had run over my beloved niece.,Negative
 Why are you choosing to leave a foreign country ? Many people are reluctant to leave the superior living environment abroad . ,Neutral
I'm so scared! Is this really how life forces certain circumstances on people? It's so hard. #confused #faith,Negative
 Don't tell me you have a record player ! ,Positive
"Breakfast was quite a social affair as we were frequently visited by new found friends in the shape of two fat and very vocal geese , a young swan and a bevy of excited ducks . ",Positive
"If these  movements mean nothing, why do police raid them in the middle of the night and try to censor press in the process? ",Negative
"` I 'm sad that it folded , but it 's come at a good time , "" she tells me . ",Negative
"How do you do , Prof.Smith . ",Neutral
The day I encountered a queer mamba face to face in a chunk of leaves behind our house.,Negative
Market Report : Interest rate fears spread despondency ,Negative
The price was recognised as much too low and many insurers became worried at the apparent undervaluation of their organisations . ,Negative
"That evening she felt no nervousness at all , just excitement , controlled excitement . ",Positive
"At the hardware store, trying to convert Imperial to Metric measurements, I made a mistake, and didn't buy enough tiles for the bathroom. I was angry at myself, because I hope to be a Maths teacher.",Negative
" There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . ",Negative
I had studied for almost one week for my physics-examination. With difficulty I passed the exam. I was angry about the teacher and also about myself because I had not remembered enough during the examn and because the time that I spent studying was wasted.,Negative
Found out my wife (girl-friend?) pregnant.,Positive
 See you . ,Positive
My poor mother was grief-stricken and all alone . ,Negative
At my grandfather's funeral - My grandparents virtually raised me as my mother was a solo-parent and had to work.,Negative
When my sister came home late one day and thus disobeyed my parents.,Negative
 Good . ,Neutral
When my grandmother died very suddenly without warning.,Negative
 I'm honored to know you . ,Positive
 You should've been done already . ,Negative
 Thanks . ,Neutral
"And then , unable to be cross with him for long , you shift your feelings over to the critic . ",Negative
"A son should be concerned for his father 's health . "" ",Negative
"Frank ’ s getting married , do you believe this ? ",Neutral
When I am with friends and I do what pleases me this often happenes.,Positive
Excuse me.Where do I register ? ,Neutral
"In fact they encouraged us most warmly , and we shared the general mood of elation at the overall success of the 1974 submission . ",Positive
George Grindal was pleased that he could turn to the bedside cabinet and take up the feeding glass containing orange juice . ,Positive
" You have 16 balls on the table , 7 solid colored , 7 striped colored , a black 8 ball , and the white ball . ",Neutral
 No . ,Neutral
 What's wrong with heading out with Mark for vacation ? ,Negative
When the relationship with my girlfriend broke up.,Negative
How time flies ! ,Positive
"With a grimace , Donal murmured gloomily , ` He wasn't exactly ecstatic at my explanation . "" ",Positive
 Good idea . Thanks a billion . ,Positive
" nothing else has happened to me , but I have seen quite a few fights on the streets after the bars close . ",Neutral
Good luck on your test tomorrow . We'll be crossing our fingers for you ! ,Positive
When I learned that several people had died in the street due to  the cold weather.,Negative
"Wycombe were beaten by Bob Taylor 's 82nd-minute winner , and their disconsolate boss Martin O'Neill said : ` I was actually looking forward to extra-time because I was so sure we would win . ",Negative
"SHE was once considered one of the world 's most beautiful women , but yesterday every line etched on Britt Ekland 's face told a story of personal anguish . ",Negative
 How so ? ,Neutral
My boy-friend came home late one night without having told me about it before.,Negative
Richard Nixon repeatedly expressed his exasperation at having to work with an unresponsive bureaucracy . ,Negative
"Having already paid for my return ticket I was cross at having to buy another one , and even more upset at having to pay extra for the one-way ticket and convert sterling at an unfavourable rate . ",Negative
The Spirit of causes disease.,Negative
Franco became very alarmed at this and told him to put his money away immediately . ,Negative
"In the traffic with a car, I nearly got crushed between a bus and a tram.  The attention of other drivers saved me at the last moment.",Negative
" I'm sorry , I haven't decided yet . Do you mind giving me a couple of minutes ? ",Negative
 I'll beat him . ,Negative
 She's 42 . ,Neutral
" OK , Mum . I'll invite my friends home . ",Positive
 I'm not . ,Neutral
When I passed the B.A exams with first class results.,Positive
Despite our good performance and excellent results the management refused to meet our demands.,Negative
This feeling I sensed quite recently. It was arisen by the terrific thought that I might lose the man I loved !,Negative
"A certain boy came into my room and started telling me that I was not pretty, that I had no manners and that I should learn some.  I had just come to campus and he was in fourth year.",Negative
" Well , I heard David has been fired . ",Neutral
 So Baltimore is winning ? ,Neutral
"The girl was glued to the spot , terror-struck , pop-eyed , quivering , knowing for certain that the Day of Judgment had come for her at last . ",Negative
Discussing psychology with my friends before the lecture.,Positive
Excuse me ! I don't have time to waste . I've been here almost one full hour ! ,Negative
There is only one thing that makes a dream impossible to achieve: the of #failure. Basically I'm saying focus on getting ur mind right,Negative
"` Good heavens , no , lady "" came the indignant reply . ",Negative
Every year during carnival I am very joyful I have an intense feeling of happiness then.,Positive
"Can't go to bed .. I keep looking at the window hoping that my car won't be robbed& , #vacation",Negative
 Frightened ? You must be joking . ,Negative
" I would love to be surrounded by hills and streams . They ’ re so much better to look at than concrete , rows of parked cars and tall buildings . ",Positive
"In 1960,  I was going to a school which was near my village and I met a lion on the way, which disappeared suddenly.",Negative
 At least more than 100 years old . ,Positive
 I 'm frightened for him . ,Negative
 A-what ? ,Neutral
"When I went home and there was nobody, I waited till 2 A.M and      still nobody.  I was suddenly scared and anxious as this had never happened before.  In addition my mother was very weak and I feared that she had met with an accident.  Therefore I was anxious  all night.",Negative
"As a child, one evening I had read a novel about ghosts and I had thus spent a sleepless night as I kept feeling that there were ghosts dancing around me.",Negative
When we were able to afford a new sofa - a leather one which cost SEK 20000.  I had waited for it for 2-3 years.,Positive
"They played throughout the second half in peeved mood , allowing Blackburn to assume the dictating role with Gordon Cowans prompting from midfield and Speedie in predatory form up front . ",Negative
 Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . ,Positive
 Thanks ! We love it . ,Negative
"In 1983, my results at the university entrance exam were very poor - far from what I had expected.   I thought that I would not be accepted at the university.",Negative
"While preparing my master's thesis, I was scared that I would not accomplish anything as the subject was rather difficult.",Negative
 How come ? ,Neutral
"Giving the mouse hand puppet a gravelly, Michael Gambon-esque voice at Thanksgiving got mixed responses from young cousins. #Laughter",Negative
Brother provoked anger. It was when mother and father were away and we had to look after ourselves. He accused me of being selfish and a snob.,Negative
 Why ? ,Neutral
My teacher's death.,Negative
" Well , if I'm not living here anymore , then I won't have to listen to your rules . ",Negative
I saw a lot of starving people in a T.V news report.,Negative
I had fear when I was left alone at the bus depot at night. I had problems of how to move to this place.,Negative
I got angry with a stranger in a train who behaved impertinently and immorally,Negative
"When, as a child, I was nearly knocked down by a car.",Negative
"When I tried to explain to a plumber, face to face, that the toilet was broken and he did not believe it (it had been mended ten times).",Negative
 But how guilty to waste food ! ,Negative
"Constant recounting of this tale embroidered it further , describing the woman 's horror as the head , missing the basket , gripped her apron and held on with its teeth ! ",Negative
"When my best friend died, at the age of 16.",Negative
 Certainly . ,Neutral
"Will Reseda riot after @NickJacksonYB and I win, tomorrow?  ",Negative
"When I saw a car run over a child, out of carelessness.",Negative
in any form diminishes my ability to think clearly and trust myself. Why in the world is it used as a tool so often?,Negative
 Shut up ! ,Negative
When my father's new fiancee treats me like a child.  She does not trust me and constantly misunderstands me.  I get particularly angry when she says nasty things about my boyfriend with whom she works.,Negative
The crowd was wild with excitement . ,Positive
 Too bad . ,Neutral
"Hi , Bob . ",Neutral
 Apparently I was furious I had not been consulted ,Negative
" Wow , a remote car model and my favorite brand . I really like it . That is so nice of you . ",Positive
 She will be 86 next month . ,Neutral
"When I had to move away from home to study, and I knew that I would not be coming back home for a long time.",Negative
"She jumped up , frowning in dismay . ",Negative
"I was accused of a misdemeanour, unjustly.",Negative
There was one other horrified observer of the scene . ,Negative
"I felt anger when I had a fight with my father, and he beated me. My mother came to help me (because I was beeing beated) and he also beated my mother.",Negative
" Oh , Penny , I'm Leonard , glad to meet you . ",Positive
Quarreling with classmates.,Negative
" Too bad . But , is there any other leather store nearby ? ",Negative
"first, the (batman begins)....then, the #limits (dark knight).....im thinking like,  fucking....#redemption (dark knight rises)",Negative
` You 're cross because I was honest when I spoke to you that night . ,Negative
 Today . ,Neutral
"I was hitchhiking and was picked up by a stranger he drove into the woods and wanted to make love with me, I refused and escaped from the car. When walking in the wood and hearing the car I was afraid.",Negative
My own dismay at the way those kids were savaging the flora of Stonethwaite is a good example . ,Negative
With a small sigh of exasperation she thrust her feet to the floor . ,Negative
"I feel afraid of the way a great friend looks at me, and also a little afraid of the directions that it's going.",Negative
 What is the difference ? ,Neutral
When I was transferred from Chichiri Secondary School to St. Mary's Sec. School. I was happy at Chichiri as a day scholer and had made a lot of friends. I was going to a boarding and that meant parting with my friends as well as my boyfriend for the first time.,Negative
 I see . ,Neutral
Unjust punishment of a friend of mine.,Negative
A person whom I had not seen for a long time called me and invited me for a party.,Positive
Yussuf had been quite inconsolable . ,Negative
When I dreamed that I was being attacked by a friend.,Negative
Niggas Tryna Live Off Im Tryna Live Off #Respect Cuz Without It Don't Nobody Give A Fuck About You R/S,Negative
 But the lessons this semester are a little bit hard . ,Negative
 like what ? ,Neutral
 I don't like the way they sag down . I feel like I have plumber butt in them . ,Neutral
 Congratulations ! Susan . I ’ m so happy for you . ,Positive
 Smith . ,Neutral
 My condolences . ,Negative
 Certainly.It matches your suit perfectly . ,Positive
He dipped the cotton wool in the water and dabbed at the livid puffy eyes . ,Negative
"A sunny Autumn day, after a long rainy period.",Positive
" Really , Mary , you ’ re horrible . ",Negative
I felt joy when I heard that I was accepted for the Free University in Driebergen.,Positive
Leaving high school.,Negative
"If I mention our separate sleeping arrangements to friends , they are horrified . ",Negative
A friend of mine could not make it back to university after having failed the exams.,Negative
" No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . ",Neutral
The greatest cause of the Prince 's despondency had been the feeling that he served no useful purpose . ,Negative
"Perhaps it was something in the dowager-duchess 's voice that caused it , but Joan to her own dismay burst into tears . ",Negative
Had an argument with my classmate for borrowed books.,Negative
" Great , is it a two bedroom house ? ",Positive
Hearing of the death of a friend who had been skiing.,Negative
 Yes . ,Neutral
"Passing an examination, although I felt sure I had failed.",Positive
When fired unjustly from a job as casual bar-person. Charged with giving away free drinks. Not done so and had witnesses to prove it - both patrons and bar staff. Other staff were supportive.,Negative
 Totally not . Perhaps it's about our marriage . ,Neutral
"I had made an appointment with three friends. We had to go out together. When I arrived at the place, the other persons weren't there. I became very angry because I thought they were gone without me. That, however, didn't appear to be the case.",Negative
 Why can't I call the police now ? He was definitely following me ! ,Negative
What do you plan to do for your birthday ? ,Neutral
 Lucky her . ,Neutral
After my girlfriend had taken her exam we went to her parent's place.,Positive
" But what about parking ? You can't park on the street , can you ? ",Negative
 I ’ d like to know why you ’ re always taking credit for work we ’ Ve done together like that line in the new Ice Cream ad ? ,Negative
 That will be great ! Do you have LPs or Cds ? ,Positive
" Yeah , that's it . ",Neutral
"I came across a girl at the school bus-stop, I had seen her several friends as she was a friend's friend.  However my friend had never introduced me to her and when she got off the bus I smiled at her but she did not respond pretending not to have seen me.  Her arrogant behaviour made me sick and angry.",Negative
" well , my boyfriend was supposed to call me last night , but he never did . ",Negative
" Believe it or not , the company I worked for closed down , so I ’ m out of a job . ",Negative
My mother and my sister carried on picking at me all day long for no reason at all and I ended up getting angry.,Negative
 Much better . My heart sank when Mary told me that she wanted to leave me . ,Negative
We were in the country and I walked away from the others one night.  Suddenly something moved sharply in front of me and I was not able to see what it was.,Negative
"When I found out that the girl, with whom I was in love, loved me too.",Positive
When my uncle died whom I had loved very much. I was very sad and I felt totally helpless.,Negative
But there is no doubt that some of these ideas are causing great disquiet among Branch Management and Staff . ,Negative
"When I received the mark well above requirements for the course I wanted to enter, yet I was not accepted - anger at the injustice of it, because I didn't receive early release of H.S.C. marks.",Negative
 OK . Do you want us to bring something ? ,Positive
A cold draught of air was coming from the kitchen and I found the back door to be wide open -- and then my horrified glance fell upon Aunt Louise . ,Negative
When I passed my MSCE Exams and was selected to go to college.,Positive
I was river rafting in Nev. and our boat tipped over and I was sucked under in to some rocks and got stuck and all I could think was that I was going to die. And it was so quiet under the water it seemed like no one would care or remember.,Negative
When I could not do anything because of a bad back.,Negative
"Thinking of the unknown, what happens at the moment of death, etc.",Negative
 driving and sneezing on the highway,Negative
" Yes , so I want to learn French to develop my career . ",Neutral
"I was walking down a little village at night.  There was nobody in the steet.  A dog began to bark, I felt that it was following me.  Then I began to run, the other dogs started barking too.  At last I arrived home.",Negative
I had been watching a triller a dark night in the country and I had to go the outside toilet on my own. ,Negative
" Well , my mum lost her job yesterday . ",Negative
Some folks r really mean 2 me. That doesn't scare me. What scares me is how ridiculous it became 2 suggest 2 pay for music  ,Negative
 Banker ? ,Neutral
Walking in the dark by myself.,Negative
"Indonesian officials were somewhat miffed Friday when the mayor of Hanover , he took the occasion of welcoming Suharto to lecture him about human rights violations in Indonesia .",Negative
 Not at all . ,Neutral
When I go out with my friend with enough money and good sense to our favorite dancing.,Positive
My father died last year after an 8-week severe illness.,Negative
 Why ? ,Neutral
"It was mid May 1985, When we had a Test on Nursing. My classmate had an answer sheet, so he tried to peep. The Nursing Tutor caught him. During this time I was turning my question paper and it made noise. This friend blamed me of causing the whole matter for him to be caught.",Negative
By now the priest was becoming exasperated with the child who in turn was becoming ever more stubborn by the minute . ,Negative
 How come ? ,Neutral
"When the guy I was in love with told me that he had met someone else and that we would not meet again for a year.  Although we did not have a steady relatioship, we were having an affair.",Negative
"When somebody broke into our home one night when my mother was out, and my sister and I had just gone to bed.",Negative
"To have a friend who I didn't see for months, and under the circumstances that I met him made me feel happy, and perhaps because it has been one of the good things that I learned with this friend.",Positive
"Mention of the press 's glee at the humiliation of the investigators behind this summer 's high-profile surveillance project Operation Blackbird , who were fooled by an obvious hoax , brings out Tarr 's own nascent conspiracy theory . ",Positive
What do you make of the case ? ,Neutral
I was teaching someone to drive and when we were about to crash I was scared.,Negative
Are you all right ? ,Neutral
On my way through lonely streets I met with a huge stray dog. It stopped at some distance and looked at me. I tried to ignore it but I was very frightened.,Negative
 Then shall we keep pure friendship ? ,Negative
My sippin and thuggin level is off the charts right now. Patrons at dawns are whispering about me. #nohope,Negative
 The food wasn't all that exciting . ,Negative
But they are also nervous that the calculations they make in the next two weeks may determine who will win and lose the political battles of the next two years . ,Negative
When I got through the first day here at the department.,Positive
"` I am supposed to be going there with Sister Agape , but I 'd be pleased if you would take my place . ",Positive
