Overall Qual,Lot Area,Sqft,Has Basement,Garage Cars,Year Built,Total Rooms,Bedrooms,Bathrooms,Fireplaces,Neighborhood,SalePrice
9.0,12858.0,3924.0,0,3.0,2009.0,10.0,3.0,3.0,1.0,NridgHt,376162.0
8.0,11478.0,3408.0,1,3.0,2007.0,7.0,3.0,3.0,1.0,NridgHt,306000.0
9.0,10159.0,3870.0,1,3.0,2009.0,8.0,3.0,4.0,1.0,NridgHt,395192.0
8.0,12883.0,3088.0,0,3.0,2009.0,7.0,3.0,2.0,0.0,NridgHt,290941.0
7.0,12182.0,3082.0,1,2.0,2005.0,7.0,3.0,2.0,1.0,NridgHt,220000.0
9.0,11520.0,3396.0,1,3.0,2005.0,7.0,3.0,2.0,1.0,NridgHt,275000.0
8.0,14122.0,3644.0,1,3.0,2005.0,8.0,3.0,2.0,1.0,NridgHt,259000.0
7.0,10171.0,3052.0,1,2.0,2004.0,7.0,3.0,2.0,0.0,NridgHt,214000.0
9.0,12919.0,4694.0,1,3.0,2009.0,11.0,2.0,4.0,2.0,NridgHt,611657.0
7.0,6371.0,2716.0,1,2.0,2009.0,6.0,2.0,3.0,1.0,NridgHt,224000.0
9.0,14300.0,5542.0,1,3.0,2003.0,10.0,3.0,4.0,2.0,NridgHt,500000.0
8.0,13650.0,3921.0,1,3.0,2002.0,7.0,3.0,4.0,1.0,NridgHt,320000.0
9.0,7658.0,3504.0,1,2.0,2005.0,6.0,2.0,3.0,1.0,NridgHt,319900.0
8.0,7132.0,2740.0,1,2.0,2006.0,6.0,2.0,2.0,1.0,NridgHt,205000.0
7.0,2628.0,2390.0,0,2.0,2003.0,6.0,2.0,3.0,0.0,NridgHt,175500.0
6.0,18494.0,2648.0,0,2.0,2005.0,6.0,3.0,2.0,0.0,Gilbert,199500.0
7.0,3203.0,2290.0,1,2.0,2006.0,6.0,2.0,2.0,0.0,Blmngtn,160000.0
8.0,3182.0,2525.0,1,2.0,2004.0,6.0,2.0,2.0,1.0,Blmngtn,192000.0
7.0,13300.0,1758.0,1,2.0,2004.0,7.0,3.0,4.0,1.0,Gilbert,184500.0
6.0,7851.0,2820.0,1,2.0,2002.0,8.0,4.0,4.0,2.0,Gilbert,216500.0
7.0,8577.0,2580.0,0,2.0,2004.0,7.0,3.0,3.0,1.0,Gilbert,185088.0
7.0,7750.0,1814.0,1,2.0,2000.0,7.0,3.0,3.0,1.0,Gilbert,180000.0
7.0,9505.0,2919.0,0,2.0,2001.0,8.0,3.0,3.0,1.0,Gilbert,222500.0
9.0,14774.0,3992.0,0,3.0,1999.0,10.0,4.0,3.0,1.0,NoRidge,333168.0
8.0,17433.0,4104.0,0,3.0,1998.0,7.0,4.0,3.0,1.0,NoRidge,355000.0
7.0,10593.0,3440.0,1,2.0,1996.0,7.0,3.0,3.0,1.0,NoRidge,260400.0
8.0,12256.0,4085.0,1,2.0,1994.0,9.0,3.0,4.0,2.0,NoRidge,325000.0
8.0,11764.0,3422.0,1,3.0,1999.0,9.0,4.0,3.0,1.0,NoRidge,290000.0
7.0,16770.0,3034.0,0,2.0,1998.0,7.0,4.0,3.0,0.0,NoRidge,221000.0
8.0,14720.0,5271.0,1,3.0,1995.0,9.0,4.0,4.0,1.0,NoRidge,410000.0
7.0,9215.0,2436.0,0,2.0,2009.0,4.0,2.0,2.0,0.0,Somerst,204500.0
7.0,8640.0,2303.0,1,2.0,2009.0,7.0,3.0,3.0,0.0,Somerst,215200.0
8.0,9000.0,3132.0,1,2.0,2008.0,7.0,3.0,3.0,0.0,Somerst,262500.0
7.0,12552.0,2938.0,1,2.0,2004.0,8.0,3.0,3.0,1.0,Somerst,254900.0
6.0,10440.0,2936.0,1,2.0,2005.0,6.0,2.0,3.0,1.0,Somerst,271500.0
7.0,10142.0,3040.0,1,2.0,2004.0,8.0,4.0,4.0,0.0,SawyerW,233000.0
7.0,11920.0,2490.0,0,2.0,2004.0,8.0,3.0,3.0,0.0,SawyerW,181000.0
7.0,8880.0,3058.0,1,2.0,1994.0,8.0,3.0,4.0,2.0,SawyerW,205000.0
6.0,8012.0,1846.0,1,1.0,1980.0,5.0,2.0,2.0,1.0,SawyerW,143000.0
6.0,11218.0,2900.0,0,2.0,1992.0,8.0,3.0,3.0,1.0,SawyerW,189000.0
6.0,7892.0,1836.0,0,1.0,1979.0,5.0,2.0,2.0,1.0,SawyerW,99500.0
6.0,7175.0,1496.0,1,1.0,1984.0,4.0,2.0,2.0,0.0,SawyerW,125000.0
7.0,9453.0,2740.0,1,2.0,1993.0,7.0,3.0,3.0,0.0,SawyerW,194500.0
6.0,9672.0,2137.0,1,2.0,1984.0,6.0,3.0,2.0,0.0,SawyerW,152000.0
6.0,8400.0,2214.0,0,2.0,1980.0,7.0,3.0,3.0,1.0,SawyerW,171000.0
5.0,9800.0,1828.0,0,1.0,1920.0,5.0,2.0,1.0,0.0,SawyerW,67500.0
5.0,11782.0,2264.0,1,2.0,1961.0,6.0,3.0,2.0,0.0,Sawyer,148000.0
5.0,8450.0,1788.0,1,1.0,1965.0,5.0,3.0,2.0,1.0,Sawyer,138500.0
5.0,9819.0,1782.0,1,1.0,1967.0,5.0,3.0,1.0,0.0,Sawyer,122000.0
5.0,7500.0,2080.0,1,1.0,1963.0,5.0,3.0,3.0,0.0,Sawyer,133000.0
5.0,6897.0,2080.0,1,1.0,1962.0,6.0,3.0,3.0,0.0,Sawyer,127000.0
6.0,15410.0,2702.0,1,2.0,1974.0,7.0,3.0,3.0,2.0,Sawyer,169000.0
7.0,10186.0,2673.0,1,2.0,1992.0,8.0,3.0,4.0,1.0,NoRidge,190000.0
8.0,13143.0,3580.0,1,3.0,1993.0,9.0,4.0,4.0,1.0,NoRidge,362500.0
8.0,11134.0,3615.0,1,3.0,1992.0,7.0,4.0,4.0,1.0,NoRidge,285000.0
7.0,4835.0,2976.0,1,2.0,2004.0,6.0,2.0,3.0,1.0,Somerst,260000.0
7.0,3515.0,2520.0,0,2.0,2004.0,3.0,2.0,3.0,0.0,Somerst,190000.0
7.0,3215.0,1800.0,1,2.0,2004.0,4.0,2.0,3.0,0.0,Somerst,155000.0
7.0,3182.0,1800.0,0,2.0,2004.0,4.0,2.0,3.0,0.0,Somerst,151000.0
7.0,2544.0,1800.0,1,2.0,2004.0,4.0,2.0,4.0,0.0,Somerst,149500.0
6.0,2544.0,1836.0,1,2.0,2005.0,4.0,2.0,4.0,0.0,Somerst,152000.0
7.0,4403.0,2948.0,1,2.0,2009.0,7.0,2.0,4.0,1.0,Somerst,222000.0
6.0,2117.0,2329.0,1,2.0,2000.0,5.0,3.0,3.0,0.0,Somerst,177500.0
6.0,2980.0,2268.0,1,2.0,2000.0,5.0,2.0,4.0,0.0,Somerst,177000.0
7.0,2572.0,2112.0,1,2.0,1999.0,6.0,3.0,4.0,0.0,Somerst,155000.0
7.0,2403.0,1610.0,1,2.0,2003.0,4.0,2.0,3.0,0.0,Somerst,147110.0
8.0,12853.0,3060.0,1,3.0,2010.0,6.0,1.0,3.0,1.0,Somerst,267916.0
8.0,7379.0,2823.0,1,2.0,2000.0,7.0,3.0,4.0,1.0,Somerst,254000.0
8.0,4420.0,1516.0,1,2.0,1980.0,3.0,1.0,2.0,1.0,Greens,155000.0
8.0,3880.0,2452.0,1,2.0,1978.0,4.0,1.0,2.0,1.0,Greens,206000.0
6.0,13517.0,2204.0,1,2.0,1976.0,6.0,3.0,3.0,0.0,Sawyer,130500.0
7.0,8000.0,2984.0,1,2.0,2002.0,6.0,3.0,3.0,1.0,Somerst,230000.0
6.0,10456.0,3658.0,1,2.0,1967.0,8.0,4.0,3.0,0.0,NWAmes,218500.0
6.0,10791.0,3775.0,1,2.0,1993.0,9.0,4.0,4.0,1.0,NWAmes,243500.0
6.0,10603.0,3220.0,1,2.0,1977.0,6.0,3.0,3.0,2.0,NWAmes,205000.0
6.0,18837.0,3115.0,1,2.0,1978.0,7.0,3.0,4.0,1.0,NWAmes,212500.0
7.0,10421.0,2694.0,1,2.0,1988.0,7.0,3.0,3.0,1.0,NWAmes,196500.0
6.0,9360.0,2542.0,1,2.0,1972.0,5.0,3.0,3.0,1.0,NWAmes,197500.0
6.0,9600.0,2360.0,1,2.0,1971.0,7.0,4.0,3.0,0.0,NWAmes,171000.0
5.0,9600.0,2464.0,1,2.0,1966.0,6.0,3.0,3.0,0.0,NAmes,142250.0
6.0,9790.0,2656.0,1,2.0,1963.0,6.0,3.0,3.0,2.0,NWAmes,143000.0
5.0,9900.0,2418.0,1,2.0,1966.0,6.0,3.0,2.0,0.0,NAmes,159000.0
5.0,9680.0,3020.0,1,2.0,1967.0,6.0,3.0,3.0,0.0,NAmes,178900.0
6.0,10600.0,2308.0,0,2.0,1964.0,8.0,3.0,2.0,0.0,NAmes,136300.0
5.0,14112.0,2304.0,1,2.0,1964.0,6.0,3.0,2.0,1.0,NAmes,180500.0
6.0,8800.0,1990.0,1,2.0,1963.0,6.0,3.0,2.0,0.0,NAmes,137500.0
5.0,9717.0,2156.0,1,1.0,1950.0,5.0,2.0,2.0,0.0,NAmes,142125.0
5.0,9724.0,3601.0,1,2.0,1952.0,7.0,3.0,2.0,2.0,NAmes,197600.0
6.0,17360.0,2338.0,1,2.0,1949.0,6.0,3.0,2.0,1.0,NAmes,172500.0
5.0,9920.0,2119.0,1,1.0,1954.0,6.0,3.0,2.0,0.0,NAmes,128000.0
6.0,9600.0,2676.0,1,1.0,1955.0,7.0,3.0,2.0,2.0,NAmes,153000.0
5.0,7800.0,2536.0,1,1.0,1954.0,7.0,2.0,1.0,1.0,NAmes,132000.0
6.0,11380.0,2208.0,1,1.0,1966.0,5.0,2.0,2.0,1.0,NAmes,178000.0
5.0,11600.0,3379.0,1,2.0,1960.0,12.0,5.0,2.0,0.0,NAmes,154300.0
7.0,19900.0,4154.0,1,2.0,1970.0,7.0,3.0,3.0,1.0,NAmes,180000.0
6.0,16492.0,3405.0,1,2.0,1966.0,6.0,2.0,3.0,1.0,NAmes,190000.0
5.0,8267.0,3208.0,0,2.0,1958.0,8.0,4.0,2.0,0.0,NAmes,135000.0
7.0,8197.0,2960.0,1,2.0,2003.0,7.0,3.0,3.0,0.0,NAmes,214000.0
5.0,8050.0,2286.0,1,1.0,1959.0,6.0,3.0,2.0,0.0,NAmes,136000.0
5.0,10552.0,3098.0,1,2.0,1959.0,6.0,4.0,3.0,1.0,NAmes,165500.0
5.0,8400.0,2628.0,1,1.0,1957.0,5.0,3.0,2.0,0.0,NAmes,145000.0
6.0,8760.0,2388.0,0,1.0,1959.0,6.0,3.0,2.0,0.0,NAmes,148000.0
5.0,12160.0,2376.0,1,2.0,1959.0,6.0,3.0,2.0,0.0,NAmes,142000.0
5.0,9300.0,2532.0,1,2.0,1960.0,6.0,3.0,2.0,2.0,NAmes,167500.0
5.0,10725.0,2412.0,1,1.0,1959.0,6.0,3.0,1.0,0.0,NAmes,108538.0
6.0,10032.0,2824.0,1,2.0,1959.0,6.0,3.0,3.0,2.0,NAmes,159500.0
4.0,8382.0,2169.0,0,1.0,1956.0,5.0,3.0,1.0,0.0,NAmes,108000.0
5.0,10950.0,1928.0,1,1.0,1952.0,4.0,2.0,2.0,0.0,NAmes,135000.0
5.0,10895.0,1944.0,1,1.0,1955.0,5.0,3.0,1.0,0.0,NAmes,122500.0
5.0,13587.0,1976.0,1,1.0,1958.0,5.0,2.0,2.0,0.0,NAmes,119000.0
5.0,7922.0,2114.0,1,1.0,1953.0,5.0,3.0,2.0,0.0,NAmes,109000.0
4.0,7898.0,1561.0,0,2.0,1920.0,4.0,2.0,2.0,0.0,NAmes,105000.0
5.0,10200.0,2172.0,1,2.0,1954.0,6.0,3.0,2.0,0.0,NAmes,144900.0
5.0,5868.0,1872.0,1,1.0,1956.0,4.0,2.0,2.0,0.0,NAmes,129000.0
6.0,17503.0,2370.0,0,1.0,1948.0,6.0,3.0,2.0,1.0,NAmes,97500.0
6.0,6979.0,2112.0,1,2.0,1980.0,4.0,0.0,2.0,0.0,OldTown,144000.0
5.0,9830.0,2350.0,1,2.0,1959.0,7.0,3.0,2.0,1.0,NAmes,162000.0
7.0,11275.0,3688.0,0,2.0,1967.0,11.0,5.0,3.0,1.0,NAmes,242000.0
6.0,8064.0,2040.0,1,1.0,1948.0,5.0,3.0,2.0,0.0,NAmes,132000.0
5.0,7500.0,2492.0,1,1.0,1959.0,6.0,3.0,3.0,0.0,NAmes,154000.0
5.0,8520.0,2295.0,1,2.0,1952.0,6.0,4.0,2.0,0.0,NAmes,166000.0
5.0,7200.0,1800.0,1,2.0,1951.0,5.0,3.0,2.0,0.0,NAmes,134800.0
6.0,10000.0,2232.0,0,2.0,1962.0,5.0,3.0,2.0,0.0,NAmes,160000.0
5.0,7635.0,2350.0,1,2.0,1960.0,6.0,3.0,2.0,0.0,NAmes,148000.0
6.0,9760.0,2790.0,1,2.0,1963.0,7.0,2.0,2.0,1.0,NAmes,192000.0
6.0,7700.0,2595.0,0,2.0,1966.0,7.0,4.0,2.0,1.0,NAmes,155000.0
4.0,4800.0,2553.0,1,1.0,1900.0,9.0,3.0,2.0,2.0,OldTown,80400.0
5.0,8960.0,2036.0,0,2.0,1927.0,5.0,2.0,1.0,1.0,OldTown,115000.0
5.0,5805.0,2694.0,1,2.0,1957.0,6.0,3.0,3.0,0.0,OldTown,143000.0
3.0,5790.0,2445.0,0,1.0,1915.0,8.0,3.0,2.0,0.0,OldTown,107400.0
4.0,4608.0,1494.0,0,1.0,1945.0,4.0,2.0,1.0,0.0,OldTown,80000.0
5.0,7200.0,1592.0,1,1.0,1940.0,4.0,2.0,2.0,2.0,OldTown,119000.0
5.0,5500.0,1852.0,1,2.0,1929.0,6.0,3.0,2.0,0.0,OldTown,130000.0
6.0,6900.0,2078.0,0,1.0,1938.0,6.0,3.0,1.0,0.0,OldTown,119000.0
5.0,11851.0,2660.0,1,1.0,1948.0,7.0,3.0,1.0,1.0,OldTown,129000.0
5.0,8239.0,2253.0,1,1.0,1920.0,6.0,3.0,1.0,0.0,OldTown,100000.0
2.0,9656.0,1510.0,0,2.0,1923.0,5.0,2.0,1.0,1.0,OldTown,12789.0
6.0,8520.0,1344.0,0,2.0,1928.0,5.0,2.0,1.0,0.0,OldTown,105900.0
8.0,9600.0,2496.0,0,1.0,1900.0,7.0,3.0,2.0,0.0,OldTown,150000.0
5.0,10800.0,2338.0,1,1.0,1915.0,7.0,4.0,3.0,0.0,OldTown,139000.0
8.0,9000.0,2614.0,0,2.0,1890.0,7.0,3.0,3.0,0.0,OldTown,240000.0
6.0,7407.0,2148.0,1,2.0,1957.0,6.0,2.0,2.0,0.0,OldTown,149700.0
4.0,7740.0,1985.0,0,2.0,1910.0,6.0,3.0,1.0,0.0,OldTown,125500.0
4.0,11340.0,3067.0,0,2.0,1885.0,11.0,4.0,2.0,0.0,OldTown,122500.0
6.0,10560.0,2208.0,1,2.0,1922.0,6.0,2.0,2.0,0.0,OldTown,140750.0
5.0,5830.0,2600.0,1,1.0,1950.0,7.0,3.0,2.0,0.0,BrkSide,128500.0
7.0,7793.0,3176.0,1,1.0,1922.0,8.0,3.0,2.0,1.0,BrkSide,209500.0
4.0,5000.0,1530.0,1,1.0,1925.0,4.0,2.0,2.0,0.0,BrkSide,87000.0
6.0,6000.0,1740.0,1,1.0,1939.0,5.0,2.0,2.0,0.0,BrkSide,134000.0
6.0,6000.0,1768.0,1,2.0,1940.0,6.0,3.0,3.0,2.0,BrkSide,128000.0
5.0,6360.0,2288.0,1,1.0,1942.0,7.0,3.0,2.0,2.0,BrkSide,132000.0
6.0,6000.0,2196.0,1,1.0,1948.0,6.0,3.0,2.0,0.0,BrkSide,139900.0
5.0,6240.0,1568.0,1,2.0,1936.0,5.0,2.0,1.0,0.0,BrkSide,123900.0
5.0,6240.0,2464.0,1,2.0,1930.0,7.0,4.0,2.0,1.0,BrkSide,138400.0
6.0,6120.0,2192.0,1,1.0,1923.0,5.0,2.0,2.0,1.0,OldTown,109500.0
7.0,10300.0,2286.0,0,2.0,1921.0,9.0,3.0,2.0,0.0,OldTown,140000.0
4.0,8094.0,2850.0,0,2.0,1915.0,9.0,4.0,2.0,1.0,OldTown,149500.0
6.0,3068.0,1986.0,0,1.0,1920.0,6.0,3.0,2.0,0.0,OldTown,122000.0
5.0,8472.0,1632.0,1,2.0,1963.0,5.0,2.0,2.0,0.0,IDOTRR,110000.0
5.0,7630.0,2172.0,0,2.0,1900.0,8.0,4.0,2.0,1.0,OldTown,140000.0
7.0,24090.0,3435.0,0,1.0,1940.0,10.0,4.0,2.0,2.0,ClearCr,244400.0
5.0,15263.0,3097.0,1,1.0,1959.0,8.0,3.0,2.0,2.0,ClearCr,173000.0
5.0,10632.0,1913.0,0,1.0,1917.0,6.0,3.0,2.0,0.0,ClearCr,107500.0
6.0,6001.0,1519.0,1,1.0,1940.0,5.0,3.0,1.0,0.0,SWISU,95000.0
5.0,6048.0,2536.0,1,2.0,1910.0,7.0,2.0,3.0,1.0,SWISU,114900.0
5.0,11625.0,2078.0,1,2.0,1965.0,6.0,3.0,3.0,0.0,Sawyer,131500.0
5.0,11341.0,2784.0,1,2.0,1957.0,5.0,3.0,3.0,1.0,Sawyer,121500.0
5.0,8521.0,1824.0,1,1.0,1967.0,5.0,3.0,1.0,1.0,Sawyer,125000.0
5.0,8246.0,2120.0,1,1.0,1968.0,6.0,3.0,2.0,1.0,Sawyer,154000.0
5.0,7800.0,1756.0,1,1.0,1966.0,5.0,3.0,2.0,0.0,Sawyer,137900.0
6.0,9364.0,2015.0,1,1.0,1969.0,7.0,4.0,2.0,0.0,Sawyer,158000.0
5.0,7832.0,1728.0,1,1.0,1968.0,4.0,2.0,2.0,0.0,Sawyer,137250.0
5.0,7424.0,2692.0,1,2.0,1978.0,5.0,3.0,2.0,2.0,Sawyer,160250.0
5.0,11227.0,2160.0,1,2.0,1968.0,7.0,4.0,2.0,2.0,Sawyer,163000.0
6.0,11616.0,2058.0,1,2.0,1978.0,6.0,3.0,3.0,1.0,Sawyer,158900.0
7.0,14000.0,3566.0,1,2.0,1996.0,7.0,3.0,4.0,0.0,ClearCr,328000.0
7.0,20062.0,2903.0,1,2.0,1977.0,4.0,1.0,3.0,2.0,ClearCr,270000.0
4.0,9259.0,1416.0,0,2.0,1927.0,4.0,2.0,1.0,0.0,Sawyer,85000.0
4.0,9600.0,2134.0,1,2.0,1950.0,4.0,2.0,2.0,0.0,Sawyer,128000.0
7.0,23595.0,2856.0,1,2.0,1979.0,4.0,0.0,3.0,1.0,ClearCr,260000.0
6.0,17082.0,3098.0,1,2.0,1978.0,8.0,4.0,4.0,1.0,ClearCr,230000.0
3.0,18600.0,2582.0,1,1.0,1938.0,8.0,4.0,3.0,1.0,Edwards,124000.0
5.0,10625.0,1293.0,1,1.0,1920.0,5.0,2.0,1.0,0.0,Edwards,83000.0
6.0,11479.0,1737.0,1,1.0,1950.0,6.0,3.0,2.0,1.0,Edwards,144500.0
5.0,9571.0,2288.0,1,1.0,1956.0,6.0,3.0,2.0,0.0,Edwards,129000.0
4.0,9350.0,1925.0,1,1.0,1947.0,8.0,3.0,1.0,1.0,Edwards,127000.0
5.0,9525.0,2344.0,1,1.0,1954.0,5.0,3.0,2.0,0.0,Edwards,128000.0
6.0,10420.0,2424.0,1,2.0,2009.0,6.0,3.0,2.0,0.0,Edwards,186000.0
7.0,17485.0,3016.0,1,2.0,2009.0,5.0,1.0,2.0,2.0,Edwards,308030.0
5.0,11200.0,2548.0,0,2.0,1964.0,5.0,3.0,2.0,0.0,Edwards,114000.0
6.0,9206.0,2473.0,0,2.0,1985.0,7.0,3.0,3.0,1.0,SawyerW,178000.0
7.0,11980.0,2866.0,1,2.0,1987.0,4.0,1.0,3.0,2.0,SawyerW,270000.0
6.0,12361.0,2748.0,1,4.0,1993.0,8.0,3.0,4.0,1.0,SawyerW,218000.0
7.0,9938.0,2999.0,1,2.0,1993.0,8.0,3.0,4.0,1.0,SawyerW,236000.0
6.0,9069.0,1932.0,1,2.0,1992.0,5.0,2.0,2.0,0.0,SawyerW,147000.0
8.0,10475.0,3388.0,0,3.0,2008.0,7.0,3.0,2.0,0.0,CollgCr,245350.0
7.0,6762.0,2395.0,1,2.0,2006.0,6.0,2.0,3.0,0.0,CollgCr,206000.0
7.0,10402.0,2452.0,0,3.0,2009.0,6.0,3.0,2.0,0.0,CollgCr,198900.0
7.0,7360.0,2444.0,1,2.0,2010.0,6.0,2.0,2.0,0.0,CollgCr,187000.0
7.0,12376.0,4895.0,1,3.0,1990.0,11.0,5.0,4.0,2.0,SawyerW,320000.0
6.0,14235.0,2121.0,0,2.0,1900.0,6.0,3.0,2.0,0.0,SawyerW,138500.0
6.0,8816.0,2062.0,1,2.0,1971.0,6.0,3.0,2.0,0.0,ClearCr,155000.0
5.0,11105.0,1835.0,1,2.0,1996.0,4.0,2.0,2.0,0.0,CollgCr,159000.0
7.0,9337.0,2570.0,1,2.0,1997.0,8.0,3.0,3.0,1.0,CollgCr,191000.0
6.0,8750.0,2486.0,1,2.0,1998.0,7.0,3.0,3.0,0.0,CollgCr,200500.0
5.0,15240.0,2052.0,1,1.0,1977.0,5.0,3.0,3.0,0.0,CollgCr,150000.0
6.0,10900.0,2081.0,1,1.0,1977.0,6.0,3.0,2.0,0.0,CollgCr,161750.0
5.0,10650.0,1788.0,1,1.0,1976.0,5.0,3.0,2.0,0.0,CollgCr,128200.0
5.0,7480.0,1752.0,1,2.0,1972.0,5.0,3.0,2.0,0.0,CollgCr,127000.0
8.0,10389.0,3956.0,1,3.0,2003.0,8.0,3.0,4.0,1.0,CollgCr,318000.0
8.0,11423.0,3182.0,1,2.0,2001.0,6.0,3.0,3.0,1.0,CollgCr,272000.0
7.0,9548.0,2770.0,1,2.0,2003.0,7.0,3.0,4.0,1.0,CollgCr,237000.0
7.0,9375.0,3138.0,0,2.0,1997.0,9.0,4.0,3.0,1.0,CollgCr,240000.0
7.0,12137.0,3310.0,0,2.0,1998.0,6.0,3.0,2.0,0.0,CollgCr,224900.0
6.0,4435.0,1696.0,1,2.0,2003.0,4.0,1.0,2.0,0.0,CollgCr,143750.0
6.0,4426.0,1696.0,1,2.0,2004.0,3.0,1.0,2.0,0.0,CollgCr,143000.0
8.0,10635.0,3325.0,1,2.0,2003.0,8.0,3.0,3.0,1.0,CollgCr,232000.0
7.0,8400.0,2957.0,1,2.0,2004.0,7.0,3.0,3.0,0.0,CollgCr,213000.0
7.0,8773.0,2828.0,1,2.0,2004.0,6.0,3.0,2.0,0.0,CollgCr,185500.0
5.0,8842.0,1373.0,0,1.0,1954.0,6.0,3.0,1.0,0.0,Edwards,155891.0
5.0,10044.0,2392.0,1,1.0,1968.0,6.0,3.0,2.0,0.0,Edwards,144000.0
4.0,11792.0,1864.0,0,2.0,1948.0,5.0,2.0,1.0,0.0,Edwards,64000.0
6.0,6305.0,2104.0,1,1.0,1975.0,5.0,3.0,2.0,1.0,Edwards,125200.0
6.0,7819.0,2146.0,1,2.0,1976.0,6.0,3.0,2.0,1.0,Edwards,107000.0
4.0,8546.0,2242.0,0,2.0,2003.0,5.0,2.0,2.0,0.0,Edwards,140000.0
6.0,8741.0,2222.0,1,1.0,1945.0,7.0,3.0,2.0,1.0,Edwards,113000.0
4.0,12180.0,1596.0,1,1.0,1941.0,5.0,2.0,2.0,0.0,Edwards,80000.0
5.0,8562.0,2742.0,1,1.0,1957.0,7.0,4.0,1.0,1.0,Edwards,144500.0
5.0,4853.0,2403.0,1,1.0,1924.0,5.0,2.0,2.0,1.0,SWISU,104000.0
6.0,6858.0,2453.0,0,1.0,1915.0,6.0,4.0,3.0,0.0,SWISU,128000.0
3.0,8212.0,1728.0,1,1.0,1914.0,5.0,2.0,2.0,0.0,Edwards,58500.0
5.0,5000.0,2717.0,1,1.0,1924.0,6.0,3.0,2.0,1.0,SWISU,127000.0
6.0,7890.0,1712.0,1,2.0,1939.0,4.0,2.0,2.0,1.0,SWISU,126000.0
